At age,1930s,1940s,1950s,1960s,1970s,1980s
25,,38.5663956,44.9439555,50.3614366,42.8660899,23.6196592
26,,40.3638154,43.8984632,51.507169,43.5571343,25.3044486
27,,47.5560695,50.3590167,51.3121784,47.4012285,27.9715002
28,,49.5349437,55.8631599,56.6412568,49.5536983,29.8055887
29,,53.3452749,60.6696248,58.9524627,53.4646749,34.6359611
30,,55.3041518,62.3866916,60.3894413,55.6017697,36.4923775
31,,55.785805,65.7069266,62.885797,58.2285285,40.4396564
32,,59.3009233,66.4891303,65.7476723,58.5155427,44.9409753
33,47.243607,58.8983595,67.8784907,66.8055356,59.2285573,46.0409284
34,49.0452081,62.4905944,71.2377429,68.8543499,58.8118732,49.5766401
35,51.7521501,62.530762,72.7547228,70.6003666,58.6078942,
36,50.9575248,62.6282215,73.1806815,71.102041,59.528929,
37,53.2637179,66.79582,71.0468709,71.5601563,60.5807126,
38,52.6737273,70.5526233,72.229588,71.5434134,59.3666673,
39,55.9095144,70.0264037,73.4673858,73.0757952,60.9062612,
40,57.2007656,71.0045278,73.9372969,72.443527,61.6817653,
41,56.884712,73.2030988,74.7967184,71.7500031,60.9922707,
42,58.7782145,73.5236168,75.637722,72.689575,62.873131,
43,58.2539439,75.2450287,76.4486194,73.2640326,62.4376476,
44,58.9441717,74.5680809,77.2745728,72.1537948,64.3655658,
45,60.2382004,78.3644319,77.5554776,71.6985762,,
46,56.1630845,77.5584936,78.4896135,71.0035205,,
47,62.9886031,78.6267042,78.8015306,70.300436,,
48,66.3318574,79.2380929,77.570349,72.291559,,
49,68.1723297,79.0158689,79.7149599,69.9931443,,
50,69.6894348,78.8313389,78.8925588,71.9790936,,
51,69.1829681,79.7688663,78.3937931,72.1419573,,
52,68.3118999,79.9136519,78.7888467,73.2280731,,
53,70.9650278,80.2532375,77.149421,72.3523736,,
54,72.5331128,81.1305225,78.5127819,72.8632271,,
55,73.8306582,81.3101888,77.7914643,,,
56,74.8596072,80.281502,78.5374343,,,
57,75.4032493,79.9981117,77.8293788,,,
58,76.96926,81.3233972,75.8852661,,,
59,74.2852747,79.8110843,76.0847211,,,
60,73.5862792,80.0191581,75.5889535,,,
61,74.7537911,80.1712155,77.5229692,,,
62,76.4463305,78.6809087,75.5580127,,,
63,77.1556437,78.434509,77.9396057,,,
64,76.0477364,80.5490315,76.2372255,,,
65,76.8141925,78.7857294,,,,
66,75.8697689,79.3564796,,,,
67,75.0606239,80.746007,,,,
68,75.88135,80.2457809,,,,
69,75.8503854,79.450202,,,,
70,76.967752,79.7619522,,,,
71,76.0334134,80.0477087,,,,
72,75.627929,78.6964595,,,,
73,76.0632396,79.8455298,,,,
74,75.6094038,79.3793142,,,,