Country,Happiness score
Afghanistan,2.404
Albania,5.199
Algeria,5.122
Argentina,5.967
Armenia,5.399
Australia,7.162
Austria,7.163
Azerbaijan,5.173
Bahrain,6.647
Bangladesh,5.155
Belarus,5.821
Belgium,6.805
Benin,4.623
Bolivia,5.6
Bosnia and Herzegovina,5.768
Botswana,3.471
Brazil,6.293
Bulgaria,5.371
Burkina Faso,4.67
Cambodia,4.64
Cameroon,5.048
Canada,7.025
Chad,4.251
Chile,6.172
China,5.585
Colombia,5.781
Comoros,4.609
Congo,5.075
Costa Rica,6.582
Croatia,6.125
Cyprus,6.221
Czechia,6.92
Denmark,7.636
Dominican Republic,5.737
Ecuador,5.533
Egypt,4.288
El Salvador,6.12
Estonia,6.341
Eswatini,4.396
Ethiopia,4.241
Finland,7.821
France,6.687
Gabon,4.958
Gambia,5.164
Georgia,4.973
Germany,7.034
Ghana,4.872
Greece,5.948
Guatemala,6.262
Guinea,4.891
Honduras,6.022
Hong Kong,5.425
Hungary,6.086
Iceland,7.557
India,3.777
Indonesia,5.24
Iran,4.888
Iraq,4.941
Ireland,7.041
Israel,7.364
Italy,6.467
Jamaica,5.85
Japan,6.039
Jordan,4.152
Kazakhstan,6.234
Kenya,4.543
Kuwait,6.106
Kyrgyzstan,5.828
Laos,5.14
Latvia,6.18
Lebanon,2.955
Lesotho,3.512
Liberia,5.122
Libya,5.33
Lithuania,6.446
Luxembourg,7.404
Madagascar,4.339
Malawi,3.75
Malaysia,5.711
Mali,4.479
Malta,6.447
Mauritania,4.153
Mauritius,6.071
Mexico,6.128
Moldova,5.857
Mongolia,5.761
Montenegro,5.547
Morocco,05.06
Mozambique,5.048
Myanmar,4.394
Namibia,4.459
Nepal,5.377
Netherlands,7.415
New Zealand,7.2
Nicaragua,6.165
Niger,5.003
Nigeria,4.552
North Macedonia,5.199
Norway,7.365
Pakistan,4.516
Palestine,4.483
Panama,6.309
Paraguay,5.578
Peru,5.559
Philippines,5.904
Poland,6.123
Portugal,6.016
Romania,6.477
Russia,5.459
Rwanda,3.268
Saudi Arabia,6.523
Senegal,5.046
Serbia,6.178
Sierra Leone,3.574
Singapore,6.48
Slovakia,6.391
Slovenia,6.63
South Africa,5.194
Spain,6.476
Sri Lanka,4.362
Sweden,7.384
Switzerland,7.512
Taiwan Province of China,6.512
Tajikistan,5.377
Tanzania,3.702
Thailand,5.891
Togo,4.112
Tunisia,4.516
Turkey,4.744
Turkmenistan,5.474
Uganda,4.603
Ukraine,5.084
United Arab Emirates,6.576
United Kingdom,6.943
United States,6.977
Uruguay,6.474
Uzbekistan,6.063
Venezuela,4.925
Vietnam,5.485
Yemen,4.197
Zambia,3.76
Zimbabwe,2.995